text,labels
"not to mention that the troops already in Iraq are already under ""regular"" fire, according to CNN",6
"Young people are depicted in a caricaturist form, making it all the more difficult for them to socially and professionally integrate",1
"The director of IRFS, Emin Huseynov, remains in hiding",0
.,3
But these comments are the same as anecdotal tales of smokers who live to 100 and young non-smokers who die of lung cancer,1
.,3
"which is inherently and, unless checked, normatively abusive of citizens",1
.,3
Have you ever thought of a career as a stock photography model?,0
"But then again, neither was her mother",1
lest motorists are overcome with ennui and fatally fall asleep at the wheel,1
"Yet it's something that few people seem to be talking about openly, if at all",1
.,3
unless the Greens are there too,1
",",3
.,3
.,3
"As in other European countries, especially France, anger at the police in the UK has repeatedly boiled over into riots",1
whose lives have been remade,1
So much for unfair profiling,1
All but one of the commissions agreed with the text of the law or presented constructive suggestions,0
"the hostility of the Republican Congress, mixed with his own political personality, has often led to marginal policy changes",1
.,3
.,3
It's time to adopt an Alcoholics Anonymous approach to world peace,1
Europe must look seriously into accepting larger asylum quotas and focus on giving the most vulnerable a legitimate means of getting to their shores,1
.,3
"This would be no easy undertaking and would require the capture of the heavily defended cities of Mariupol and Odessa, Ukraine's tenth-largest and third- largest cities, respectively",1
That is an impressive underachievement from our first African-American president,1
The Justices of the Connecticut Supreme Court took over parenting duties of a cancer-stricken teenager Thursday,1
",",3
The legacy left behind and the permanent White House staff will stay on awaiting the new leader of the free world,1
So save your caffeine-dependent foes from themselves via this simple but powerful caffeine trick,1
.,3
.,3
.,3
Yet some of my colleagues began accusing me of using the bill to further my own political career and gain support for my assumed ambitions for the 2014 presidential elections,0
.,3
"because in the space of a few hours last month I watched in awe as tens, then hundreds, then thousands, then",3
There are some important exceptions to the disparity pattern,1
 it is lifesaving,1
.,3
.,3
",",3
.,3
" Argentina is opting for stubbornness, bullying and intimidation of its debt-holders, all with a helping hand from the United Nations",1
.,3
who was among those killed on Wednesday,0
"Don't you owe them something better than this?""",1
"as the country boasts the Arab - indeed, Muslim - world's first modern constitution, from 1861, and has long been among the most cosmopolitan and open in the region",0
"A new Pew Research Center survey finds that, for the first time in their surveys, the majority of Americans oppose more gun control",6
Deadly terrorism seeks to stamp out the possibility of difference ,1
.,3
"This ""life extension programme"" is not simply an initiative to replace rusty old nukes with shiny new ones, but an attempt to increase their accuracy, to replace free fall with precision guided bombs",1
",",3
.,3
.,3
they behave remarkably well under these circumstances,1
who also bring a wealth of practical management experience and advice for getting young ventures off the ground,1
to maximise profits for the slavocracy ruling the country till the Civil War and the emerging industrial corporate class,1
it is an extremely dangerous strategy likely to further shred the fabric of Pakistani public life,1
",",3
.,3
- but,3
done,3
",",3
 about 93 percent of debt holders agreed to the swap,0
Such hopes are misplaced,1
"A group of black female academics, activists, and writers wrote an open letter explaining that ""as Black women, we do not have the privilege or the space to call ourselves 'slut' without validating the already historically entrenched ideology and recurring messages about what and who the Black woman is.""",6
.,3
"Despite signing the 2002 Declaration on the Conduct of Parties in the South China Sea, which discourages claimant states from unilaterally altering the status quo",1
",",3
"From the fall of Northern Rock in 2007 to September 2014, Britain lost a net total of 352,000 manufacturing jobs",5
.,3
Other research shows that you increase your chances of falling in love if you ask just 36 questions and then stare into their eyes for four minutes,5
Each year more ships are making the journey through the Northern Sea Route,1
",",3
That's why he thinks the eventual GOP nominee should do as George W  Bush did in 2000,1
