text,label
Such lists are usually for those with criminal convictions,assumption
"For example there could be more direct involvement by UN Secretary General Ban Ki-moon, in the form of a representative, a high calibre UN negotiator",assumption
"Breaching EU competition rules, the pipeline project could have gone through",assumption
"Fingers are being pointed at ""Exodus"" and at Scott",assumption
"(IMF and World Bank policies strongly resemble those of the international banks that brought Tunisia, Egypt and the Ottoman Empire to bankruptcy, and ultimately foreign control, between 1863 and 1875)",assumption
the political blame game remains just as intense as before,assumption
Van Den Bleeken's case was unusual,assumption
"Secondly, as part of this ""grand bargain"", the government needs to get real about ending the age of entitlement",assumption
The United States needlessly imports about 5.5 million barrels of petroleum each day at an annual cost of $120 billion a year,statistics
"It would say to everyone, from Pakistani secularists murdered for opposing theocratic savagery, to British parents worried sick that their boys will join Islamic State, that radical Islam is a real fascistic force",assumption
What end does that even achieve?,assumption
he clearly never did,assumption
involving up to 800 police in coordinated raids,anecdote
It sounds vain,assumption
Tell them you're scared before you have that brain scan,assumption
"This is why today's NATO does""not want to wake up a sleeping dog"", he explains",testimony
Europe's fear of Syria's ghost boats.,title
Islamists protested against the paper and its decision,anecdote
But there should be some quiet and thoughtful debate within our Congress about how it can supervise these vital intelligence programs,assumption
"The UN Office on Drugs and Crime, which created a counterterrorism task force, says that despite increasing international recognition of the threat posed by terrorists' use of the internet,""there is currently no universal instrument specifically addressing this pervasive facet of terrorist activity""",testimony
But France's already powerful far-right Front National is certain to use the Charlie Hebdo affair to exploit these fears and prejudices,assumption
"At the moment, the president and Pfeiffer are on a hot streak",assumption
"The Marshall Islands - a country of about 70,000 people located in the Pacific Ocean - is taking the world's nine nuclear powers to court for allegedly violating international obligations to work towards nuclear disarmament",anecdote
it is also important to perceive this event from the perspective of the host country; a small nation with very poor governance and infrastructure in the midst of regional turmoil,assumption
"But beneath it all, society is brought to its knees",assumption
"I like that one, and I'm keeping it",other
"The British press was initially instructed in a ""private and confidential"" memo dated November 15, 1917, not to refer to the ""military operations against Turkey in any sense as a Holy War, a modern Crusade, or anything whatever to do with religious questions""",testimony
known today as the Northern Sea Route,no-unit
Notice how the school district dodged my question?,assumption
Would any rational actor toy with people's lives for short-term political ends in what was an unimportant political week?,assumption
Not one of these fears could ever be called unreasonable,assumption
 share it with someone who knows you well but has never heard about that event or phase in your life,assumption
"So, now it is just Mamta and I - the only survivors from a family of 10",anecdote
More immigration and population growth? London can take it.,title
"as countries elsewhere in Europe have found, we don't need volume house builders, except to construct high-rises",assumption
"What's going on is the assault by some in radical Islam not on speech, but on vulnerable innocents in their everyday lives in order to intimidate their governments",assumption
But the same oppressive structures that underpinned colonialism continue to flourish in the age of neoliberal globalisation,assumption
As,no-unit
It's about time,assumption
"Ed Miliband, Nick Clegg and Nigel Farage have each written to David Cameron saying they are willing to have TV election debates",anecdote
"""There is a prejudice against Christians in this country right now,"" White told me",testimony
Last month this system of abuses was detailed in the damning US Senate report on the secret CIA programme that ran detention sites and organised the transfer of detainees with the cooperation of partner countries,testimony
"Even US' main allies in the region, Chile and Colombia, rejected US proposals to accept prisoners from Guantanamo, considering the move highly unpopular",anecdote
"The anti-corruption, pro-European revolution in Ukraine was presented as an American plot against Russia",assumption
"In Lima, governments must agree to review whether these plans are enough to prevent climate chaos and whether the effort is shared fairly between richer and poorer nations before they meet again in Paris in December 2015",assumption
I like to think of myself as wholly resistant to the wicked wiles of big fashion,anecdote
"In each of those you have a chance to be positive, to be cheerful, to be supportive",assumption
"just like the gift of Jesus is a free, unearned, and underserved gift",assumption
withdrawing the film will cost the company another $45m,assumption
Glubb noted the average age of empires since the time of ancient Assyria (859-612 B.C ) is 250 years,testimony
and,no-unit
"But even more importantly, the Senate can get to work on the issues of real importance to the people who elected them",assumption
"In industry, a slow-motion switch from a Leninist, centrally planned economy to markets has been initiated as well",assumption
In some ways we get worse,assumption
forgotten is that active alcoholics often go looking for sorrows in order to drown them,assumption
we still feel inadequate,assumption
"Senators Ian Macdonald and Dean Smith, MP Dan Tehan, and trade minister Andrew Robb are rushing forth to call for changes to the rate and base of the GST, including applying the tax to fresh food",anecdote
"because they violated sex workers' human and ""constitutional right to security of the person"" by imposing ""dangerous conditions on prostitution""",anecdote
"Both the Conservatives, in omitting immigration from their six priority themes, and Labour in advising canvassers to move the conversation on, have ironically shown that it is possible to get headlines by not talking about immigration",assumption
the white American majority must take some responsibility,assumption
insecurity still runs at record highs,assumption
"British Prime Minister David Cameron spoke on the subject with US President Barack Obama and the foreign ministers of France, Germany and the EU foreign policy chief all held talks separately with Zarif",anecdote
Our nation's immigration laws can be difficult to understand,common-ground
"After five years of ""negotiations"" President Obama ended exactly where Raul Castro's demands began five years ago",assumption
Tuesday at President Obama's penultimate State of the Union address,no-unit
"Though ostensibly secular in objective, the anti-conversion laws in force in various states of India - Odisha, Madhya Pradesh, Gujarat, Himachal Pradesh, Chhattisgarh (all areas with a significantly high population of tribals, Dalits, the depressed castes, and reeling from poverty, illiteracy and abysmal healthcare) in effect gives the government a vast swathe of control over people's choices in matters of faith and religion",assumption
"The view around Mr Cameron is expressed by one close ally:""If you are the incumbent, debates are heavily weighted in favour of the insurgents. It is a rigged game.""",testimony
"Humility, coupled with a proven track record of success and more confidence in the states and the people, is what's needed at the national level",assumption
Liberty Institute tells me the Army will allow me to speak with the chaplain -- but not right now,anecdote
The AKP government has helped decrease imports from Russia to 57 percent of the overall volume,statistics
"""I fear Chaplain Lawhorn's freedom of expression was improperly singled out,"" he wrote",testimony
"his story is one more tragic version of""I can't breathe.""",assumption
"While claiming to stand for press freedom, Charlie Hebdo dismissed one of its star cartoonists, Sine, due to false accusations of anti-Semitism",anecdote
and,no-unit
Middle Eastern producers were prompted to increase spending by the unrest produced by the Arab Spring,assumption
yet,no-unit
"In the wake of the expenses scandal, all the parties were anxious to be seen trying to connect with alienated voters",assumption
You see,no-unit
blacks still report those crimes at a higher rate,statistics
We are reacting emotionally because 12 people were killed in Paris,assumption
Who will hire him now?,assumption
"Aside from the influence of unhelpful global politics, the root cause lies in the failure of their own political and religious leaders",assumption
"And many of the countries hardest hit will be a lot poorer than Argentina, a middle income country that has never learned to live within its means",assumption
The greatest trick Obama ever pulled was convincing the world America isn't still at war.,title
All but one of the documentary directors - Laura Poitras for Citizenfour - is a man,testimony
What happens in hard times is always the same,assumption
and,no-unit
our eagerness to sell overseas was a slippery slope,assumption
"The primary short-term goal for Russia in Ukraine will be to keep the conflict in eastern Ukraine ""frozen""",assumption
"In December 2008, the Senate Armed Services Committee published a powerful report about how the policies for dealing with prisoners in the ""war on terror"" had developed - including detailed analysis of how the US military's SERE programme (intended to train US personnel to resist torture if captured by a hostile enemy) had been reverse-engineered for the ""war on terror""",testimony
It spends a few hundred billion dollars more than the government will collect in tax revenue,statistics
And victims should be offered redress ,assumption
When Chancellor Merkel arrived in London last week,anecdote
"From violations of airspace to near mid-air collisions, the number of incidents between Russia and NATO has soared dramatically",assumption
"as the Mail's Martin Samuel pointed out, footballers - footballers!-""are placed in the same bracket as doctors, teachers or legal professionals""",testimony
Six years of continuing recession have resulted in a loss of 25 percent of GDP and a rise of unemployment to 27 percent,statistics
"At that podium, he declared that ""the future must not belong to those who slander the prophet of Islam.""",testimony
"She is discreet, but never decorous",assumption
"At the start of a panic attack, you are supposed to commence the catechism: what am I afraid of?",assumption
"The only difference is that ""Uncle Joe"" would have gotten them all",assumption
who gleefully behead innocent captives in video clips,assumption
